// Huge thanks to MidnightAugur for manually mapping these!

/////////////////////////////////////////
// AI Files (baseattack)
/////////////////////////////////////////

set_file|pl0000_baseattack
set_node|2005835800|Uncharged Combo Finisher 3 (XXXY)
set_node|1453693101|Uncharged Normal Attack 1 (X)
set_node|245732819|Uncharged Normal Attack 2 (XX)
set_node|810660363|Power Finisher 2 (XX[Y]Y)
set_node|1477610985|Charged Combo Finisher 2 (XX[Y]) (1.7s)
set_node|149436498|Multilock Check
set_node|1755713425|Multilock
set_node|631175946|Mastery Node Check
set_node|2063017370|Uncharged Normal Attack 1 (X)
set_node|398860734|Power Finisher 1 (XYY)
set_node|1449207075|Uncharged Combo Finisher 1 (XY)
set_node|836980693|Mastery Node Check
set_node|1995760690|Multilock Guage Check
